Fecha,Numero_horas_con_deambulacion,Numero_horas_estacionarias,Total_hrs_monitorizadas,Hrs_sin_registro,min_totales_en_movimiento,Total_min_de_ejercicio_diario,distancia_caminada_en_km,Numero_pasos_por_dia,FCr_promedio_diario,Gasto_calorico_activo,HRV_SDNN,FC_al_caminar_promedio_diario
2021-08-02,13.0,3.0,16.0,8.0,187.0,134.0,7.6932025,9482.0,41.0,454.45799999999997,59.568266666666666,98.5
2021-08-03,12.0,2.0,14.0,10.0,154.0,115.0,5.9662705,7466.0,47.0,417.111,53.52016666666666,91.0
2021-08-04,14.0,10.0,24.0,0.0,170.0,125.0,7.3330085,9217.0,39.0,480.234,47.135999999999996,76.0
2021-08-05,15.0,7.0,22.0,2.0,131.0,115.0,5.8773469,7045.0,40.0,448.57,50.9679,78.25
2021-08-06,15.0,9.0,24.0,0.0,142.0,104.0,5.47078242,6858.0,40.0,469.822,106.39223333333332,76.5
2021-08-07,17.0,2.0,19.0,5.0,66.0,11.3,3.1747835,3889.0,43.0,486.624,49.35345,78.0
2021-08-08,15.0,3.0,18.0,6.0,95.0,17.0,4.2620585,5383.0,46.0,539.578,49.096000000000004,78.0
2021-08-09,15.0,2.0,17.0,7.0,184.0,131.0,7.7446328,9589.0,48.0,551.612,59.2864,93.0
2021-08-10,13.0,1.0,14.0,10.0,130.0,114.0,5.2649622,6573.0,49.0,397.458,38.099775,78.0
2021-08-11,10.0,5.0,15.0,9.0,145.0,111.0,6.8039594,8495.0,47.0,435.919,53.83973999999999,79.0
2021-08-12,12.0,3.0,15.0,9.0,139.0,103.0,5.4905814,6934.0,48.0,463.071,39.9735,78.5
2021-08-13,9.0,2.0,11.0,13.0,83.0,71.0,3.6215593,4498.0,48.0,368.6467,126.34213999999999,78.5
2021-08-14,11.0,2.0,13.0,11.0,137.0,27.0,5.767653,6528.0,42.0,557.133,68.3886,94.0
2021-08-15,15.0,3.0,18.0,6.0,71.0,12.0,2.8325388,3520.8,46.0,462.595,58.24823333333333,80.7
2021-08-16,15.0,2.0,17.0,7.0,212.0,145.0,8.7080442,10875.0,42.0,563.481,97.1595,67.0
2021-08-17,16.0,8.0,24.0,0.0,160.0,128.0,5.49041825,6847.0,39.0,478.01,58.197675000000004,93.0
2021-08-18,13.0,3.0,16.0,8.0,180.0,127.0,7.06628,8804.0,42.0,458.546,51.493375,64.5
2021-08-19,15.0,2.0,17.0,7.0,178.0,104.0,7.680049,9505.0,48.0,557.772,75.04085,89.0
2021-08-20,14.0,2.0,16.0,8.0,168.0,117.0,6.462196,8068.0,45.0,513.217,56.9934,71.0
2021-08-21,10.0,7.0,17.0,7.0,124.0,27.0,4.96506521,5599.0,45.0,546.856,57.4796,89.5
2021-08-22,17.0,2.0,19.0,5.0,173.0,18.0,6.5160164,7913.0,48.0,674.213,62.77845,80.0
2021-08-23,14.0,2.0,16.0,8.0,207.0,147.1,9.1391715,10885.0,42.0,534.909,91.62713333333333,77.0
2021-08-24,12.0,4.0,16.0,8.0,152.0,139.0,5.2695795,6633.0,42.905,467.379,46.5278,83.0
2021-08-25,14.0,4.0,18.0,6.0,232.0,120.0,10.555285849999997,12490.8,46.0,710.515,82.8387,77.0
2021-08-26,14.0,3.0,17.0,7.0,138.0,107.0,6.0865855,7576.0,48.0,470.986,54.6232,77.0
2021-08-27,14.0,3.0,17.0,7.0,127.0,92.0,4.978299,6204.0,46.0,508.034,62.8707,77.5
2021-08-28,14.0,2.0,16.0,8.0,178.0,29.0,6.8562576,7835.0,45.0,673.02,53.081799999999994,82.0
2021-08-29,11.0,7.0,18.0,6.0,134.0,26.0,6.092699005,7207.0,43.0,636.355,71.31295,87.5
2021-08-30,13.0,2.0,15.0,9.0,187.0,127.0,7.6051394,9396.0,42.0,534.208,50.986225,103.0
2021-08-31,13.0,1.0,14.0,10.0,161.0,115.0,5.5601833,7041.0,43.0,445.218,118.57713333333334,82.0
2021-09-01,13.0,2.0,15.0,9.0,208.0,127.0,9.157415499999999,10733.0,42.0,582.11,97.34721233333333,92.0
2021-09-02,15.0,0.0,15.0,9.0,158.0,101.0,5.8507505,7353.0,48.0,546.787,44.8205,87.5
2021-09-03,14.0,1.0,15.0,9.0,122.0,84.0,4.918473,6395.0,44.0,475.5,60.129025,68.0
2021-09-04,13.0,4.0,17.0,7.0,244.0,49.0,10.12871501,11175.0,41.0,890.305,41.305366666666664,87.5
2021-09-05,16.0,2.0,18.0,6.0,162.0,40.0,6.7710123,7809.0,47.0,761.164,61.647549999999995,106.0
2021-09-06,10.0,5.0,15.0,9.0,162.0,110.0,6.1171435,7609.0,39.29,378.9069,97.19936666666666,97.5
2021-09-07,12.0,4.0,16.0,8.0,202.0,126.0,8.119653,9415.0,42.0,531.05,32.4403,84.0
2021-09-08,11.0,4.0,15.0,9.0,216.0,155.0,10.3223975,11967.0,40.0,575.357,56.05563333333333,72.0
2021-09-09,13.0,3.0,16.0,8.0,198.0,121.0,7.3356835,9129.0,46.0,583.281,50.6788,74.0
2021-09-10,16.0,1.0,17.0,7.0,113.0,83.0,4.896003,6175.0,49.0,538.753,85.83144999999999,74.0
2021-09-11,14.0,3.0,17.0,7.0,224.0,26.0,7.8285054,9155.0,40.0,702.288,60.3365,76.5
2021-09-12,9.0,5.0,14.0,10.0,104.0,15.0,3.68539964,4853.19,46.0,488.915,64.5005,76.5
2021-09-13,14.0,2.0,16.0,8.0,175.0,119.0,7.07539137,8706.0,40.0,467.733,42.1204,75.25
2021-09-14,13.0,3.0,16.0,8.0,137.0,123.0,5.0564945,6372.0,43.0,387.647,50.932339999999996,66.0
2021-09-15,14.0,2.0,16.0,8.0,161.0,78.0,6.1957345,7633.0,46.0,499.21999999999997,44.88615,86.5
2021-09-16,15.0,1.0,16.0,8.0,168.0,106.0,7.037989,8669.0,48.0,548.062,41.3992,75.25
2021-09-17,12.0,6.0,18.0,6.0,122.0,82.0,4.4651965,5784.0,47.0,468.241,65.6106,83.0
2021-09-18,14.0,4.0,18.0,6.0,223.0,59.0,11.165912914800002,12221.89,47.0,937.3332700000001,48.17886666666667,79.75
2021-09-19,15.0,4.0,19.0,5.0,157.0,13.58,5.1562025,6340.0,44.0,646.552,32.13419533333333,78.7
2021-09-20,17.0,0.0,17.0,7.0,193.0,114.0,8.2428395,10238.0,45.0,582.112,54.67686666666666,79.0
2021-09-21,13.0,2.0,15.0,9.0,227.0,155.0,7.8492095,11145.0,45.0,569.209,48.3154,81.0
2021-09-22,13.0,1.0,14.0,10.0,201.0,113.0,9.4419275,11304.0,42.0,589.145,62.15145,96.25
2021-09-23,16.0,0.0,16.0,8.0,182.0,90.0,6.988176,8806.0,51.13,601.397,51.94435,85.83000000000001
2021-09-24,13.0,3.0,16.0,8.0,119.0,77.0,5.1936325,6616.0,47.0,458.626,40.38315,74.0
2021-09-25,16.0,2.0,18.0,6.0,165.0,63.0,4.2800285,9731.0,41.0,673.243,56.285399999999996,75.7
2021-09-26,15.0,3.0,18.0,6.0,139.0,77.0,3.5550989206,8199.0,42.0,628.989,66.42701666666666,89.0
2021-09-27,13.0,3.0,16.0,8.0,228.0,107.0,9.5521428,11692.0,42.0,625.107,64.883,84.0
2021-09-28,15.0,1.0,16.0,8.0,216.0,123.0,9.0569951,10868.0,48.0,580.84,54.48935,77.0
2021-09-29,14.0,2.0,16.0,8.0,154.0,103.0,6.6259194,8503.0,43.0,435.134,85.17729999999999,83.0
2021-09-30,13.0,3.0,16.0,8.0,139.0,90.0,6.472091,8126.0,44.0,476.699,68.36204000000001,78.7
2021-10-01,13.0,4.0,17.0,7.0,139.0,92.0,4.9579855,6236.0,42.0,509.323,64.89608000000001,80.25
2021-10-02,13.0,3.0,16.0,8.0,191.0,39.0,8.51882014,9729.0,42.0,752.203,66.28688,81.0
2021-10-03,15.0,1.0,16.0,8.0,201.0,22.0,6.8690355,8259.0,47.0,636.302,70.98805,80.625
2021-10-04,13.0,2.0,15.0,9.0,192.0,122.0,7.6540095,9437.0,43.0,529.408,84.3371,50.0
2021-10-05,13.0,2.0,15.0,9.0,188.0,115.0,6.9635725,8733.0,47.0,475.16,56.10763333333333,78.625
2021-10-06,13.0,4.0,17.0,7.0,168.0,111.0,6.771627,8397.0,47.0,540.427,58.097339999999996,80.5
2021-10-07,14.0,1.0,15.0,9.0,185.0,108.0,7.3006,9138.0,46.0,521.844,60.389160000000004,80.375
2021-10-08,14.0,2.0,16.0,8.0,98.0,58.0,4.415692,5442.0,48.0,468.034,66.685875,78.0
2021-10-09,13.0,3.0,16.0,8.0,128.0,11.0,4.5254755,5565.0,41.0,582.546,75.22006,79.25
2021-10-10,17.0,2.0,19.0,5.0,172.0,42.0,7.03944741,8127.0,50.0,820.709,51.22494666666666,120.0
2021-10-11,14.0,2.0,16.0,8.0,208.0,114.0,9.361456599,11349.0,43.0,621.867,68.34873333333333,79.25
2021-10-12,13.0,2.0,15.0,9.0,148.0,98.0,6.5254829999999995,7852.0,44.0,473.099,63.904875000000004,79.0
2021-10-13,13.0,2.0,15.0,9.0,153.0,98.0,6.615828,8349.0,40.0,449.517,112.95178000000001,79.75
2021-10-14,12.0,4.0,16.0,8.0,154.0,85.0,5.6944235,7154.0,45.0,457.213,113.56084066666666,74.0
2021-10-15,12.0,3.0,15.0,9.0,160.0,77.0,4.513426,5671.0,41.0,451.544,63.68986666666667,78.5
2021-10-16,13.0,3.0,16.0,8.0,204.0,44.0,8.6255949,9951.0,44.0,795.002,68.89788333333333,85.5
2021-10-17,15.0,2.0,17.0,7.0,198.0,28.0,7.2507525,8864.0,48.0,665.903,80.41644,82.25
2021-10-18,17.0,0.0,17.0,7.0,213.0,137.39999999999998,9.6611445,11380.0,47.0,512.855,71.85032,81.7
2021-10-19,9.0,3.0,12.0,12.0,114.0,109.0,4.458658,5596.0,48.0,344.0606,81.73874,74.0
2021-10-20,11.0,5.0,16.0,8.0,153.0,112.0,6.724747,8434.0,40.0,464.169,76.3037,81.0
2021-10-21,13.0,3.0,16.0,8.0,179.0,109.0,7.5515151,9045.0,38.6,528.789,90.70904999999999,79.5
2021-10-22,16.0,2.0,18.0,6.0,166.0,65.0,4.633083,5857.0,42.0,494.78499999999997,81.57245,67.5
2021-10-23,15.0,1.0,16.0,8.0,339.0,71.0,11.760978675799999,13545.799999999997,42.0,1076.751,58.22085,79.5
2021-10-24,13.0,1.0,14.0,10.0,79.0,6.1,2.9720280999999997,3710.9,46.8449,855.37,58.20272,70.5
2021-10-25,13.0,3.0,16.0,8.0,179.0,117.0,6.66917998,8290.0,44.0,441.516,68.88558,74.0
2021-10-26,14.0,5.0,19.0,5.0,139.0,101.0,9.472349,7531.0,40.0,830.338,61.88392,72.0
2021-10-27,10.0,5.0,15.0,9.0,129.0,99.0,6.160325,7717.0,46.0,2189.911,58.95434,75.5
2021-10-28,13.0,2.0,15.0,9.0,146.0,100.0,5.902525,7325.0,46.0,457.895,60.802980000000005,70.5
2021-10-29,10.0,5.0,15.0,9.0,140.0,99.0,5.423877,6658.0,42.0,1373.806,77.8818,65.25
2021-10-30,10.0,5.0,15.0,9.0,200.0,61.0,10.239556456,11304.0,47.0,2302.8035,58.992599999999996,70.5
2021-10-31,11.0,5.0,16.0,8.0,145.0,26.0,6.479702,7459.0,51.4,635.991,66.9283,133.0
2021-11-01,13.0,0.0,13.0,11.0,158.0,131.0,6.250418,7316.0,47.0,412.459,72.717475,72.0
2021-11-02,12.0,3.0,15.0,9.0,137.0,115.0,4.4231955,5502.0,43.0,353.597,65.81977499999999,86.0
2021-11-03,12.0,4.0,16.0,8.0,186.0,141.0,8.4039415,9956.0,43.0,1634.214,68.9033,75.5
2021-11-04,12.0,5.0,17.0,7.0,131.0,85.0,5.3412825,6555.0,48.0,1320.7839999999999,91.415525,81.5
2021-11-05,11.0,4.0,15.0,9.0,111.0,76.0,4.4821215,5631.0,45.0,1240.45,62.633100000000006,83.75
2021-11-06,17.0,2.0,19.0,5.0,276.0,48.0,10.081367716000003,11536.980000000001,48.0,944.203,68.87793333333333,119.0
2021-11-07,14.0,3.0,17.0,7.0,114.0,27.0,5.123094,6038.0,50.0,586.458,45.33919999999999,102.5
2021-11-08,14.0,2.0,16.0,8.0,218.0,110.0,6.399794,7567.0,44.0,504.668,65.56046,84.5
2021-11-09,15.0,5.0,20.0,4.0,109.0,92.0,5.1674855,6492.0,45.0,514.271,54.073980000000006,85.25
2021-11-10,14.0,2.0,16.0,8.0,213.0,151.0,8.777666,10303.0,48.0,479.638,60.457499999999996,73.0
2021-11-11,9.0,3.0,12.0,12.0,131.0,94.0,5.061043,6241.0,49.0,379.861,59.010125,83.0
2021-11-12,15.0,3.0,18.0,6.0,140.0,79.0,7.691228,6376.0,43.0,4613.431,53.86222,74.0
2021-11-13,15.0,2.0,17.0,7.0,138.0,33.0,6.1545994,7176.0,40.0,1581.06,76.267225,79.25
2021-11-14,15.0,0.0,15.0,9.0,102.0,9.16,2.86017839,3503.0,44.0,1174.267,50.081920000000004,75.0
2021-11-15,16.0,1.0,17.0,7.0,165.0,112.0,6.9737,8588.0,42.0,488.768,73.820975,74.5
2021-11-16,13.0,3.0,16.0,8.0,131.0,117.0,4.6140825,5716.0,44.0,353.33146,55.651475,87.0
2021-11-17,14.0,2.0,16.0,8.0,188.0,104.0,7.6486181,9224.0,46.0,521.829,51.74516,74.5
2021-11-18,13.0,3.0,16.0,8.0,132.0,71.0,5.6296255,6960.0,41.0,513.894,84.7767,68.0
2021-11-19,14.0,2.0,16.0,8.0,97.0,41.0,3.868616,4836.0,46.0,545.594,60.02013999999999,69.0
2021-11-20,15.0,2.0,17.0,7.0,206.0,41.0,8.64982303,9845.0,38.58,810.6659999999999,88.50168,72.0
2021-11-21,14.0,3.0,17.0,7.0,118.0,19.0,4.2236951,5159.0,48.0,507.09499999999997,55.71966666666666,85.0
2021-11-22,14.0,2.0,16.0,8.0,174.0,96.0,7.149277,8850.0,42.0,566.752,98.69784,77.0
2021-11-23,16.0,0.0,16.0,8.0,146.0,100.0,6.614662,7483.0,47.0,5011.63521,40.740690666666666,77.0
2021-11-24,13.0,2.0,15.0,9.0,114.0,90.0,4.8199305,6014.0,47.0,1635.091,60.6093,78.5
2021-11-25,14.0,2.0,16.0,8.0,142.0,80.0,5.5811095,6919.0,46.0,1451.403,56.38098,72.0
2021-11-26,13.0,2.0,15.0,9.0,130.0,75.0,4.810661,6034.0,50.0,978.837,43.2273,75.0
2021-11-27,16.0,1.0,17.0,7.0,165.0,12.0,3.911426,4814.0,45.0,1331.6779999999999,80.90794,76.75
2021-11-28,11.0,2.0,13.0,11.0,59.0,13.0,2.870822,3361.0,45.0,1047.915,99.45706193333332,72.5
2021-11-29,15.0,1.0,16.0,8.0,205.0,153.84,7.289594,8551.0,44.0,447.462,66.63925,73.75
2021-11-30,11.0,3.0,14.0,10.0,113.0,79.0,4.5125715,5642.0,47.0,377.71,66.281925,55.0
2021-12-01,12.0,10.0,22.0,2.0,120.0,88.0,5.219513,6408.0,41.0,1494.527,68.09508,89.5
2021-12-02,12.0,2.0,14.0,10.0,142.0,105.0,5.3876550000000005,6757.0,50.0,1298.61,54.026525,72.5
2021-12-03,13.0,5.0,18.0,6.0,107.0,64.0,4.0797550000000005,4959.0,47.0,1415.798,80.13085,78.25
2021-12-04,14.0,2.0,16.0,8.0,217.0,41.0,8.636677126999999,10083.8,40.0,845.778,51.81835,75.375
2021-12-05,17.0,2.0,19.0,5.0,151.0,15.0,3.764518,4602.0,53.0,673.146,45.161750000000005,102.0
2021-12-06,14.0,2.0,16.0,8.0,145.0,77.0,6.5435175,8230.0,48.0,1969.1067999999998,60.09141999999999,83.875
2021-12-07,12.0,4.0,16.0,8.0,106.0,70.0,4.4677125,5476.0,41.0,479.74,66.87053999999999,83.875
2021-12-08,13.0,2.0,15.0,9.0,140.0,88.0,5.6248435,6985.0,47.0,1458.546,73.30086666666666,81.7
2021-12-09,11.0,3.0,14.0,10.0,122.0,79.0,5.6541820000000005,6895.0,52.0,1375.748,50.378139999999995,86.7
2021-12-10,12.0,5.0,17.0,7.0,110.0,74.0,5.113744,6369.0,43.0,1139.69,71.08768,87.25
2021-12-11,12.0,2.0,14.0,10.0,87.0,15.0,3.5915461,4430.0,49.0,1083.785,75.93555,81.0
2021-12-12,13.0,1.0,14.0,10.0,158.0,40.0,7.3900439,9346.0,49.0,931.639,73.91356666666667,83.7
2021-12-13,12.0,1.0,13.0,11.0,189.0,125.0,6.8842195,8494.0,48.0,448.129,55.041666666666664,96.0
2021-12-14,12.0,3.0,15.0,9.0,140.0,97.0,5.2076675,6626.0,40.0,388.7,65.998675,82.75
2021-12-15,14.0,3.0,17.0,7.0,211.0,111.0,7.000578,8587.0,46.0,1729.074,45.10108333333333,85.0
2021-12-16,16.0,1.0,17.0,7.0,192.0,103.0,5.984674,7512.0,50.0,1494.119,56.99503333333333,85.0
2021-12-17,12.0,2.0,14.0,10.0,111.0,85.0,3.7842629999999997,4893.0,46.0,1392.884,40.84833999999999,89.0
2021-12-18,7.0,2.0,9.0,15.0,50.0,6.8,1.76062235,2059.2,50.0,953.842,57.989666666666665,99.0
2021-12-19,15.0,2.0,17.0,7.0,197.0,15.0,3.9029154,4772.0,54.0,1534.397,76.76492,92.5
2021-12-20,13.0,1.0,14.0,10.0,160.0,112.0,6.472492,7900.0,50.0,399.795,45.5813,81.0
2021-12-21,14.0,0.0,14.0,10.0,152.0,93.0,5.0929183,6315.0,56.0,420.612,55.359475,97.0
2021-12-22,9.0,3.0,12.0,12.0,132.0,98.0,5.0401885,6214.0,47.0,1352.491,35.25935,100.5
2021-12-23,13.0,3.0,16.0,8.0,116.0,86.0,5.055428,6180.0,49.0,1488.356,48.49565,97.0
2021-12-24,15.0,0.0,15.0,9.0,153.0,98.0,5.1183765,6341.0,57.4,1095.654,50.3042,83.0
2021-12-25,15.0,0.0,15.0,9.0,110.0,21.0,4.4594065,5685.0,55.0,1349.487,80.35014833333334,97.0
2021-12-26,11.0,2.0,13.0,11.0,63.0,11.0,2.825406,3476.0,50.0,858.285,54.630675,71.0
2021-12-27,12.0,1.0,13.0,11.0,159.0,128.5,5.980328,7420.0,48.0,387.5695,55.86265,75.0
2021-12-28,12.0,3.0,15.0,9.0,140.0,91.0,4.889151,6143.0,48.0,432.128,66.57966,97.0
2021-12-29,12.0,2.0,14.0,10.0,146.0,103.0,5.4890535,7057.0,55.0,1379.392,43.66105,83.0
2021-12-30,12.0,4.0,16.0,8.0,145.0,84.0,5.9300475,7148.0,44.0,1390.583,48.256,83.0
2021-12-31,13.0,2.0,15.0,9.0,147.0,96.0,4.371234,5466.0,54.0,1254.571,30.585951666666666,80.0
2022-01-01,16.0,1.0,17.0,7.0,109.0,5.0,3.5730825,4542.0,46.0,1057.317,81.619725,80.0
2022-01-02,7.0,1.0,8.0,16.0,15.0,1.3,0.92302175,1179.2,47.0,681.534,85.71203750000001,101.0
2022-01-03,12.0,2.0,14.0,10.0,146.0,104.0,5.535785,6884.0,45.0,515.751,61.2545,90.0
2022-01-04,15.0,4.0,19.0,5.0,142.0,80.0,4.971055,6162.0,40.3,558.929,63.78604,75.5
2022-01-05,12.0,3.0,15.0,9.0,127.0,107.0,5.4977635,6779.0,47.0,1183.574,62.555075,82.5
2022-01-06,16.0,0.0,16.0,8.0,157.0,89.0,6.1100125,7572.0,52.0,1299.029,63.686699999999995,72.0
2022-01-07,12.0,1.0,13.0,11.0,114.0,81.0,3.8501745,4968.0,55.0,1281.398,78.58016666666667,70.0
2022-01-08,7.0,0.0,7.0,17.0,88.0,33.0,4.9086208,5674.0,53.0,1046.697,48.412533333333336,83.0
2022-01-09,6.0,3.0,9.0,15.0,60.0,15.0,2.845043,3556.0,50.0,866.381,74.5347,82.5
2022-01-10,11.0,1.0,12.0,12.0,152.0,107.0,5.706501,7030.0,47.0,406.112,51.11253333333334,79.0
2022-01-11,13.0,4.0,17.0,7.0,140.0,101.0,4.246025,5322.0,44.8243,439.084,63.402433333333335,82.5
2022-01-12,12.0,3.0,15.0,9.0,154.0,116.89999999999999,6.335519,7717.0,53.0,2173.2386999999994,44.625299999999996,84.5
2022-01-13,15.0,2.0,17.0,7.0,158.0,70.0,5.676528,7002.0,48.0,503.959,57.484750000000005,82.5
2022-01-14,13.0,2.0,15.0,9.0,117.0,76.0,4.391496,5465.0,50.0,1666.207,55.813900000000004,92.0
2022-01-15,9.0,3.0,12.0,12.0,18.0,4.0,1.0540565,1378.0,53.0,262.098,56.749425,81.25
2022-01-16,13.0,4.0,17.0,7.0,87.0,9.0,4.0573193,5213.0,43.0,520.308,71.04355,83.5
2022-01-17,11.0,3.0,14.0,10.0,136.0,89.0,5.0248737,6280.0,48.0,1016.104,65.12620000000001,73.0
2022-01-18,12.0,2.0,14.0,10.0,134.0,102.0,5.704873821,7037.0,49.0,418.248,57.24210000000001,73.0
2022-01-19,10.0,5.0,15.0,9.0,140.0,84.0,4.9462015,6135.0,49.0,1226.078,51.280833333333334,75.0
2022-01-20,12.0,3.0,15.0,9.0,124.0,85.0,5.774303,5438.0,45.0,1409.754,43.80153333333333,90.5
2022-01-21,7.0,3.0,10.0,14.0,99.0,98.0,3.738781,4586.0,55.0,930.807,56.155,78.125
2022-01-22,10.0,5.0,15.0,9.0,32.0,7.0,1.863024,2350.0,56.0,906.51,59.914125,87.5
2022-01-23,5.0,0.0,5.0,19.0,117.0,15.0,7.5324635,3800.0,81.19999999999997,1027.146,29.46447,81.0
2022-01-24,11.0,2.0,13.0,11.0,151.0,100.0,5.1044215,6391.0,51.0,417.817,51.30663333333333,115.0
2022-01-25,11.0,4.0,15.0,9.0,153.0,104.0,9.238837399999998,7765.3,55.0,872.072,41.413975,101.0
2022-01-26,12.0,1.0,13.0,11.0,116.0,94.0,4.51814474,5637.0,51.0,1160.099,69.10040000000001,90.0
2022-01-27,11.0,4.0,15.0,9.0,52.0,9.0,2.1442035,2716.0,49.0,1200.859,51.70103333333333,74.25
2022-01-28,13.0,3.0,16.0,8.0,111.0,86.0,4.6610584,5863.0,41.0,1306.388,43.720974999999996,91.0
2022-01-29,6.0,1.0,7.0,17.0,51.0,2.0,1.1483355,1474.0,47.0,745.305,32.3582,67.0
2022-01-30,12.0,2.0,14.0,10.0,71.0,12.0,2.626871,3200.0,46.0,932.913,83.34892500000001,90.5
2022-01-31,10.0,0.0,10.0,14.0,136.0,112.0,4.742633,5915.0,46.0,279.731,57.699600000000004,70.5
2022-02-01,9.0,0.0,9.0,15.0,105.0,104.0,4.045588,4997.0,53.0,276.99595,36.97702775,84.0
2022-02-02,8.0,2.0,10.0,14.0,131.0,95.0,4.5873175,5694.0,50.0,1443.173,59.16441999999999,74.5
2022-02-03,13.0,2.0,15.0,9.0,109.0,86.0,4.238311,5138.0,52.0,1262.719,53.8626,74.375
